hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
הָיָ֥ה,H1961,hā·yāh,there was,V‑Qal‑Perf‑3ms,H1961,Job,1,1
בְאֶֽרֶץ־,H776,ḇə·’e·reṣ-,in the land,Prep‑b | N‑fsc,H776,Job,1,2
ע֖וּץ,H5780,‘ūṣ,of Uz,N‑proper‑fs,H5780,Job,1,3
אִיּ֣וֹב,H347,’î·yō·wḇ,Job,N‑proper‑ms,H347,Job,1,4
שְׁמ֑וֹ,H8034,šə·mōw;,[was] his name,N‑msc | 3ms,H8034,Job,1,5
וְהָיָ֣ה ׀,H1961,wə·hā·yāh,and was,Conj‑w | V‑Qal‑ConjPerf‑3ms,H1961,Job,1,6
הָאִ֣ישׁ,H376,hā·’îš,man,Art | N‑ms,H376,Job,1,7
הַה֗וּא,H1931,"ha·hū,",that,Art | Pro‑3ms,H1931,Job,1,8
תָּ֧ם,H8535,tām,blameless,Adj‑ms,H8535,Job,1,9
וְיָשָׁ֛ר,H3477,wə·yā·šār,and upright,Conj‑w | Adj‑ms,H3477,Job,1,10
וִירֵ֥א,H3373,wî·rê,and one who feared,Conj‑w | Adj‑msc,H3373,Job,1,11
אֱלֹהִ֖ים,H430,’ĕ·lō·hîm,God,N‑mp,H430,Job,1,12
וְסָ֥ר,H5493,wə·sār,and shunned,Conj‑w | V‑Qal‑Prtcpl‑ms,H5493,Job,1,13
מֵרָֽע׃,H7451,mê·rā‘.,evil,Prep‑m | Adj‑ms,H7451,Job,1,14
שִׁבְעָ֥ה,H7651,šiḇ·‘āh,seven,Number‑ms,H7651,Job,1,15
בָנִ֖ים,H1121,ḇā·nîm,sons,N‑mp,H1121,Job,1,16
וְשָׁל֥וֹשׁ,H7969,wə·šā·lō·wōš,and three,Conj‑w | Number‑fs,H7969,Job,1,17
בָּנֽוֹת׃,H1323,bā·nō·wṯ.,daughters,N‑fp,H1323,Job,1,18
מִ֠קְנֵהוּ,H4735,miq·nê·hū,his possessions,N‑msc | 3ms,H4735,Job,1,19
שִֽׁבְעַ֨ת,H7651,šiḇ·‘aṯ,seven,Number‑msc,H7651,Job,1,20
אַלְפֵי־,H505,’al·p̄ê-,thousand,Number‑mpc,H505,Job,1,21
