Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Παῦλος,Paul,N-NMS,G3972,Ephesians 1,1
ἀπόστολος,an apostle,N-NMS,G652,Ephesians 1,2
Χριστοῦ,of Christ,N-GMS,G5547,Ephesians 1,3
Ἰησοῦ,Jesus,N-GMS,G2424,Ephesians 1,4
διὰ,by,Prep,G1223,Ephesians 1,5
θελήματος,the will,N-GNS,G2307,Ephesians 1,6
Θεοῦ,of God,N-GMS,G2316,Ephesians 1,7
Τοῖς,To the,Art-DMP,G3588,Ephesians 1,8
ἁγίοις,saints,Adj-DMP,G40,Ephesians 1,9
τοῖς,-,Art-DMP,G3588,Ephesians 1,10
οὖσιν,being,V-PPA-DMP,G1510,Ephesians 1,11
ἐν,in,Prep,G1722,Ephesians 1,12
Ἐφέσῳ,Ephesus,N-DFS,G2181,Ephesians 1,13
καὶ,and,Conj,G2532,Ephesians 1,14
πιστοῖς,faithful,Adj-DMP,G4103,Ephesians 1,15
Χριστῷ,Christ,N-DMS,G5547,Ephesians 1,16
Ἰησοῦ,Jesus,N-DMS,G2424,Ephesians 1,17
Χάρις,Grace,N-NFS,G5485,Ephesians 1,18
ὑμῖν,to you,PPro-D2P,G4771,Ephesians 1,19
εἰρήνη,peace,N-NFS,G1515,Ephesians 1,20
ἀπὸ,from,Prep,G575,Ephesians 1,21
Πατρὸς,the Father,N-GMS,G3962,Ephesians 1,22
ἡμῶν,of us,PPro-G1P,G1473,Ephesians 1,23
Κυρίου,the Lord,N-GMS,G2962,Ephesians 1,24
Εὐλογητὸς,Blessed be,Adj-NMS,G2128,Ephesians 1,25
ὁ,the,Art-NMS,G3588,Ephesians 1,26
Θεὸς,God,N-NMS,G2316,Ephesians 1,27
Πατὴρ,Father,N-NMS,G3962,Ephesians 1,28
τοῦ,of the,Art-GMS,G3588,Ephesians 1,29
εὐλογήσας,having blessed,V-APA-NMS,G2127,Ephesians 1,30
ἡμᾶς,us,PPro-A1P,G1473,Ephesians 1,31
πάσῃ,every,Adj-DFS,G3956,Ephesians 1,32
εὐλογίᾳ,blessing,N-DFS,G2129,Ephesians 1,33
πνευματικῇ,spiritual,Adj-DFS,G4152,Ephesians 1,34
τοῖς,the,Art-DNP,G3588,Ephesians 1,35
ἐπουρανίοις,heavenly realms,Adj-DNP,G2032,Ephesians 1,36
καθὼς,just as,Adv,G2531,Ephesians 1,37
ἐξελέξατο,He chose,V-AIM-3S,G1586,Ephesians 1,38
αὐτῷ,Him,PPro-DM3S,G846,Ephesians 1,39
πρὸ,before,Prep,G4253,Ephesians 1,40
καταβολῆς,the foundation,N-GFS,G2602,Ephesians 1,41
κόσμου,of the world,N-GMS,G2889,Ephesians 1,42
εἶναι,to be,V-PNA,G1510,Ephesians 1,43
ἁγίους,holy,Adj-AMP,G40,Ephesians 1,44
ἀμώμους,blameless,Adj-AMP,G299,Ephesians 1,45
κατενώπιον,before,Prep,G2714,Ephesians 1,46
αὐτοῦ,Him,PPro-GM3S,G846,Ephesians 1,47
ἀγάπῃ,love,N-DFS,G26,Ephesians 1,48
προορίσας,having predestined,V-APA-NMS,G4309,Ephesians 1,49
εἰς,for,Prep,G1519,Ephesians 1,50
υἱοθεσίαν,divine adoption as sons,N-AFS,G5206,Ephesians 1,51
αὐτόν,Himself,PPro-AM3S,G846,Ephesians 1,52
κατὰ,according to,Prep,G2596,Ephesians 1,53
τὴν,the,Art-AFS,G3588,Ephesians 1,54
εὐδοκίαν,good pleasure,N-AFS,G2107,Ephesians 1,55
τοῦ,of the,Art-GNS,G3588,Ephesians 1,56
ἔπαινον,the praise,N-AMS,G1868,Ephesians 1,57
δόξης,of the glory,N-GFS,G1391,Ephesians 1,58
τῆς,of the,Art-GFS,G3588,Ephesians 1,59
χάριτος,of grace,N-GFS,G5485,Ephesians 1,60
ἧς,which,RelPro-GFS,G3739,Ephesians 1,61
ἐχαρίτωσεν,He has freely given,V-AIA-3S,G5487,Ephesians 1,62
τῷ,the,Art-DMS,G3588,Ephesians 1,63
Ἠγαπημένῳ,Beloved One,V-RPM/P-DMS,G25,Ephesians 1,64
ᾧ,whom,RelPro-DMS,G3739,Ephesians 1,65
ἔχομεν,we have,V-PIA-1P,G2192,Ephesians 1,66
ἀπολύτρωσιν,redemption,N-AFS,G629,Ephesians 1,67
αἵματος,blood,N-GNS,G129,Ephesians 1,68
ἄφεσιν,forgiveness,N-AFS,G859,Ephesians 1,69
τῶν,-,Art-GNP,G3588,Ephesians 1,70
παραπτωμάτων,of trespasses,N-GNP,G3900,Ephesians 1,71
τὸ,the,Art-ANS,G3588,Ephesians 1,72
πλοῦτος,riches,N-ANS,G4149,Ephesians 1,73
ἐπερίσσευσεν,He lavished,V-AIA-3S,G4052,Ephesians 1,74
σοφίᾳ,wisdom,N-DFS,G4678,Ephesians 1,75
φρονήσει,understanding,N-DFS,G5428,Ephesians 1,76
γνωρίσας,having made known,V-APA-NMS,G1107,Ephesians 1,77
ἡμῖν,to us,PPro-D1P,G1473,Ephesians 1,78
μυστήριον,mystery,N-ANS,G3466,Ephesians 1,79
ἣν,which,RelPro-AFS,G3739,Ephesians 1,80
προέθετο,He purposed,V-AIM-3S,G4388,Ephesians 1,81
οἰκονομίαν,the administration,N-AFS,G3622,Ephesians 1,82
πληρώματος,fullness,N-GNS,G4138,Ephesians 1,83
τῶν,of the,Art-GMP,G3588,Ephesians 1,84
καιρῶν,times,N-GMP,G2540,Ephesians 1,85
ἀνακεφαλαιώσασθαι,to bring together,V-ANM,G346,Ephesians 1,86
τὰ,the,Art-ANP,G3588,Ephesians 1,87
πάντα,all things,Adj-ANP,G3956,Ephesians 1,88
ἐπὶ,in,Prep,G1909,Ephesians 1,89
οὐρανοῖς,heavens,N-DMP,G3772,Ephesians 1,90
γῆς,earth,N-GFS,G1093,Ephesians 1,91
ἐκληρώθημεν,we have obtained an inheritance,V-AIP-1P,G2820,Ephesians 1,92
προορισθέντες,having been predestined,V-APP-NMP,G4309,Ephesians 1,93
πρόθεσιν,the purpose,N-AFS,G4286,Ephesians 1,94
ἐνεργοῦντος,working,V-PPA-GMS,G1754,Ephesians 1,95
βουλὴν,counsel,N-AFS,G1012,Ephesians 1,96
τοὺς,the ones,Art-AMP,G3588,Ephesians 1,97
προηλπικότας,having first trusted,V-RPA-AMP,G4276,Ephesians 1,98
ὑμεῖς,you,PPro-N2P,G4771,Ephesians 1,99
ἀκούσαντες,having heard,V-APA-NMP,G191,Ephesians 1,100
τὸν,the,Art-AMS,G3588,Ephesians 1,101
λόγον,word,N-AMS,G3056,Ephesians 1,102
